"impresso","enviadomotorista","clienteconfirma","ctes","criado_em","resolvida","telefone","TICKET _D","data_ticket","status","assunto"
false,false,false,10080088792404,2026-03-26 11:10:57.698,false,5571987942616,,2026-03-25 15:02:20.497,,
false,false,false,18015952570672,2026-03-26 13:34:07.803,false,5571988107077,,2026-03-26 16:34:07.807,,
false,false,false,18246400097174,2026-04-08 16:56:15.334,true,0,4767754,2026-03-20 15:53:56.562,Resolvido,Acareação
false,false,false,18166700718642,2026-05-23 11:44:16.425,true,0,5258964,2026-04-24 00:00:00.000,Resolvido,Acareação
false,false,false,18168202694498,2026-05-23 11:44:16.331,true,0,5258506,2026-04-24 00:00:00.000,Resolvido,Acareação
false,false,false,18131502113638,2026-05-21 10:42:14.459,false,5577999634073,,2026-05-21 13:42:14.486,,
false,false,false,18015954847979,2026-05-28 09:37:29.186,false,5571981205210,,2026-05-28 12:37:29.190,,
false,false,false,18249200299522,2026-05-27 16:25:11.530,false,554335718731,,2026-05-27 19:24:27.315,,
false,false,false,18015954429059,2026-06-03 15:01:04.495,true,0,5478724,2026-05-18 16:34:35.740,Resolvido,Acareação
false,false,false,18015952405838,2026-03-26 13:49:28.673,false,,,2026-03-26 16:49:28.677,,
false,false,false,18015952497433,2026-03-26 17:53:59.387,false,,,2026-03-26 17:53:59.387,,
false,false,false,18104102506006,2026-03-26 15:06:56.808,false,,,2026-03-26 18:06:56.811,,
false,false,false,18215300093444,2026-03-26 15:12:39.182,false,,,2026-03-26 18:12:39.185,,
false,false,false,18015952348647,2026-03-26 16:06:16.539,false,,,2026-03-26 19:06:16.542,,
false,true,false,18176002734787,2026-04-06 11:29:59.097,false,5571991648734,,2026-04-06 14:29:59.100,,
false,false,false,18172803071290,2026-04-23 08:53:21.129,false,5571992738910,,2026-04-23 11:53:21.132,,
false,false,false,18188300591295,2026-03-27 09:14:23.239,false,,,2026-03-26 19:28:10.723,,
false,false,false,18015952510601,2026-03-27 09:29:15.142,false,,,2026-03-27 12:29:15.145,,
false,false,false,18166700707263,2026-03-27 10:05:33.140,false,,,2026-03-27 13:05:33.143,,
false,false,false,10080048906871,2026-04-28 12:31:40.203,true,0,4998775,2026-03-30 00:00:00.000,Resolvido,Comprovante de entrega
false,false,false,18143700192585,2026-03-27 10:21:59.621,false,,,2026-03-27 13:21:59.624,,
false,false,false,18104102540109,2026-03-27 10:31:14.554,false,,,2026-03-27 12:36:52.089,,
false,false,false,18168202692899,2026-03-27 11:34:36.984,false,,,2026-03-27 14:34:36.986,,
false,false,false,18175400319144,2026-03-27 11:46:31.300,false,,,2026-03-27 14:46:31.303,,
false,false,false,10087043191753,2026-04-28 12:31:40.260,true,0,5000558,2026-03-30 00:00:00.000,Resolvido,Comprovante de entrega
false,false,false,18250100187150,2026-03-27 13:11:58.575,false,,,2026-03-27 16:11:58.578,,
false,true,false,18191001638549,2026-03-27 14:01:01.008,false,,,2026-03-27 17:01:01.010,,
false,false,false,18143102785150,2026-06-03 15:01:01.328,true,0,5377404,2026-05-07 00:00:00.000,Resolvido,Comprovante de entrega
false,false,false,18107200029939,2026-04-06 16:14:44.755,false,5571992580931,,2026-04-06 19:14:44.758,,
false,true,false,18112000974886,2026-04-24 12:21:51.861,false,5571981992420,,2026-04-24 15:21:51.864,,
false,false,false,10080048906845,2026-04-29 14:40:16.541,true,0,5018670,2026-03-30 00:00:00.000,Resolvido,Comprovante de entrega
false,false,false,18168202671549,2026-03-27 15:23:27.353,false,,,2026-03-27 18:23:27.356,,
false,false,false,13909902830305,2026-03-27 15:27:05.647,false,,,2026-03-27 18:27:05.652,,
false,false,false,561933413,2026-03-27 15:36:13.739,false,,,2026-03-27 18:36:13.741,,
false,false,false,18168202685721,2026-03-27 15:39:20.387,false,,,2026-03-27 18:39:20.390,,
false,false,false,18015952939643,2026-03-27 15:54:47.937,false,,,2026-03-27 18:54:47.940,,
false,false,false,18142900790160,2026-04-29 14:40:16.721,true,0,5025360,2026-03-31 00:00:00.000,Resolvido,Comprovante de entrega
false,false,false,18015952172955,2026-04-22 14:40:56.858,true,0,4925345,2026-03-24 00:00:00.000,Resolvido,Acareação
false,false,false,18015952408379,2026-04-22 14:40:56.902,true,0,4925350,2026-03-24 00:00:00.000,Resolvido,Acareação
false,false,false,18015952330439,2026-04-22 14:40:56.943,true,0,4925377,2026-03-24 00:00:00.000,Resolvido,Acareação
false,false,false,18015952444103,2026-04-22 14:40:56.984,true,0,4925336,2026-03-24 00:00:00.000,Resolvido,Acareação
false,false,false,18015952573479,2026-04-22 14:40:57.038,true,0,4925341,2026-03-24 00:00:00.000,Resolvido,Acareação
false,false,false,18015952312144,2026-04-22 14:40:57.084,true,0,4925343,2026-03-24 00:00:00.000,Resolvido,Acareação
false,false,false,18015952722034,2026-04-04 08:14:27.691,false,5571999533396,,2026-04-02 11:39:11.256,,
false,false,false,18015953070543,2026-04-29 18:11:29.520,false,5571987271510,,2026-04-23 10:51:59.313,,
false,false,false,18015952504161,2026-04-22 14:40:57.135,true,0,4925348,2026-03-24 00:00:00.000,Resolvido,Acareação
false,false,false,18159608315218,2026-03-31 12:11:00.869,false,5571992427696,,2026-03-31 15:11:00.872,,
false,false,false,18181400022957,2026-03-28 09:41:54.202,false,5571981054546,,2026-03-27 13:08:29.042,,
false,false,false,18249200197229,2026-04-06 07:54:04.539,false,5571987730527,,2026-04-06 10:54:04.542,,
false,false,false,18198401121655,2026-04-13 08:55:25.962,true,0,4833684,2026-04-06 19:56:49.461,Resolvido,Comprovante de entrega
false,true,false,18204700641640,2026-03-30 09:12:34.772,false,5571992494175,,2026-03-30 12:12:34.776,,
false,true,false,18015953545364,2026-04-23 19:01:29.462,false,5571993618283,,2026-04-23 22:01:29.464,,
false,false,false,18198401117063,2026-04-08 16:56:15.568,true,0,4772570,2026-04-06 19:56:48.431,Resolvido,Comprovante de entrega
false,false,false,18015952580094,2026-05-08 15:17:52.001,true,0,5110659,2026-04-09 00:00:00.000,Resolvido,Acareação
false,false,false,18015952935031,2026-05-08 15:17:52.168,true,0,5117874,2026-04-09 00:00:00.000,Resolvido,Acareação
false,false,false,18015953519195,2026-04-25 09:31:36.427,false,5571984337058,,2026-04-25 12:31:36.430,,
false,true,false,18015952909981,2026-04-06 09:06:33.815,false,5571982368990,,2026-04-06 12:06:33.818,,
false,false,false,18015952982466,2026-05-08 15:17:52.236,true,0,5118084,2026-04-09 00:00:00.000,Resolvido,Acareação
false,false,false,18159608380598,2026-04-06 09:55:30.314,false,5571984789808,,2026-04-06 12:55:30.319,,
false,false,false,18168202680342,2026-04-06 10:29:34.339,false,5571984070039,,2026-04-06 13:29:34.344,,
false,false,false,18168202681285,2026-04-06 11:27:25.360,false,5571999163414,,2026-04-04 11:17:12.910,,
false,false,false,18159608361197,2026-04-06 11:38:12.001,false,5571985142671,,2026-04-06 14:38:12.004,,
false,false,false,18176302938931,2026-04-06 14:25:05.539,false,5571986693163,,2026-04-06 17:25:05.542,,
false,false,false,10086682312203,2026-04-08 16:56:15.189,true,0,4765906,2026-04-06 19:56:47.382,Resolvido,Comprovante de entrega
false,false,false,18015953058069,2026-04-07 12:14:55.344,false,5571988334224,,2026-04-07 15:14:55.349,,
false,false,false,18015953107616,2026-04-07 13:21:11.464,false,5571999865686,,2026-04-07 16:21:11.468,,
false,false,false,18015953113669,2026-04-07 13:21:35.011,false,5571999865686,,2026-04-07 16:21:35.013,,
false,false,false,18015951200676,2026-04-15 13:26:13.872,true,0,4841274,2026-03-20 08:03:58.033,Resolvido,Acareação
false,false,false,18015951844219,2026-04-15 13:26:13.224,true,0,4841167,2026-03-20 11:22:33.702,Resolvido,Acareação
false,false,false,10084844140016,2026-05-07 11:38:56.256,true,0,5101611,2026-04-08 00:00:00.000,Resolvido,Comprovante de entrega
false,false,false,18015952277011,2026-04-15 13:26:13.925,true,0,4841275,2026-03-20 08:03:58.033,Resolvido,Acareação
false,false,false,18000100251435,2026-04-07 22:22:58.823,false,5574988790384,,2026-04-08 01:22:58.831,,
false,false,false,18015951878605,2026-04-15 13:26:13.281,true,0,4841169,2026-03-20 08:03:58.033,Resolvido,Acareação
false,false,false,18015951972770,2026-04-15 13:26:13.993,true,0,4841101,2026-03-20 08:03:58.033,Resolvido,Acareação
false,false,false,18015952016579,2026-04-15 13:26:13.331,true,0,4841191,2026-03-20 11:22:33.659,Resolvido,Acareação
false,false,false,18172803060193,2026-05-07 11:38:56.318,true,0,5101810,2026-04-08 00:00:00.000,Resolvido,Acareação
false,false,false,18015953331978,2026-04-23 07:45:49.221,false,5571991257514,,2026-04-23 10:45:49.232,,
